Name,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Soil Type,Soil pH,Soil Drainage,Characteristics,Tolerance,Garden Uses,Garden Styles,Min-Height(feet),Max-Height(feet),Min-Height(cm),Max-Height(cm),Min-Spread(feet),Max-Spread(feet),Min-Spread(cm),Max-Spread(cm),Hardiness(Min),Hardiness(Max)
acer palmatum chitoseyama japanese maple,"5
– 8",12,shrubs,4,"full sun, partial sun",2,"8'
– 12'
(240cm
– 3.6m)","9'
– 10'
(270cm
– 3m)",average,4,,moist but well-drained,9,rabbit,beds and borderspatio and containerssmall gardens,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,12,5,13,5,9,10,270,300.0,2,5
acer palmatum crimson queen laceleaf japanese maple,"5
– 9",12,shrubs,4,"full sun, partial sun",2,"8'
– 10'
(240cm
– 3m)","10'
– 12'
(3m
– 3.6m)",average,4,,moist but well-drained,9,rabbit,banks and slopesbeds and borderspatio and containers,city and courtyardinformal and cottagejapanese gardentraditional garden,12,12,13,12,10,12,300,360.0,2,0
acer palmatum crippsii japanese maple,"5
– 8",12,"shrubs, trees",4,"full sun, partial sun",2,"4'
– 5'
(120cm
– 150cm)","4'
– 5'
(120cm
– 150cm)",average,4,,moist but well-drained,8,rabbit,beds and borderspatio and containerssmall gardens,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,2,0,2,0,4,5,120,150.0,2,5
acer palmatum deshojo japanese maple,"5
– 9",16,"shrubs, trees",4,"full sun, partial sun",2,"8'
– 10'
(240cm
– 3m)","8'
– 10'
(240cm
– 3m)",average,4,,moist but well-drained,8,rabbit,beds and borderspatio and containerssmall gardens,city and courtyardinformal and cottagejapanese gardentraditional garden,12,12,13,12,8,10,240,300.0,2,0
acer palmatum dissectum atropurpureum laceleaf japanese maple,"5
– 8",12,shrubs,4,"full sun, partial sun",2,"6'
– 8'
(180cm
– 240cm)","6'
– 8'
(180cm
– 240cm)",average,4,,moist but well-drained,8,rabbit,banks and slopesbeds and borders,city and courtyardinformal and cottagejapanese gardentraditional garden,10,13,11,13,6,8,180,240.0,2,5
acer palmatum eddisbury coral bark maple,"5
– 8",12,"shrubs, trees",4,"full sun, partial sun",2,"10'
– 15'
(3m
– 4.5m)","6'
– 10'
(180cm
– 3m)",average,4,,moist but well-drained,9,rabbit,beds and borders,city and courtyardinformal and cottagejapanese gardentraditional garden,5,8,5,8,6,10,180,300.0,2,5
acer palmatum emerald lace laceleaf japanese maple,"5
– 9",12,shrubs,4,"full sun, partial sun",2,"10'
– 13'
(3m
– 3.9m)","10'
– 13'
(3m
– 3.9m)",average,4,,moist but well-drained,9,rabbit,beds and borderspatio and containers,city and courtyardinformal and cottagejapanese gardentraditional garden,5,14,5,14,10,13,300,390.0,2,0
acer palmatum fireglow japanese maple,"5
– 9",12,shrubs,4,"full sun, partial sun",2,"12'
– 15'
(3.6m
– 4.5m)","12'
– 15'
(3.6m
– 4.5m)",average,1,,moist but well-drained,8,rabbit,patio and containers,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,6,8,7,8,12,15,360,450.0,2,0
acer palmatum garnet laceleaf japanese maple,"5
– 9",12,shrubs,4,"full sun, partial sun",2,"6'
– 8'
(180cm
– 240cm)","8'
– 12'
(240cm
– 3.6m)",average,4,,moist but well-drained,9,rabbit,beds and borderspatio and containers,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,10,13,11,13,8,12,240,360.0,2,0
acer palmatum katsura japanese maple,"5
– 9",12,shrubs,4,"full sun, partial sun",2,"5'
– 9'
(150cm
– 270cm)","5'
– 9'
(150cm
– 270cm)",average,5,,moist but well-drained,9,rabbit,beds and borderspatio and containerssmall gardens,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,11,11,12,11,5,9,150,270.0,2,0
acer palmatum kotonoito japanese maple,"5
– 9",12,"shrubs, trees",4,"full sun, partial sun",2,"6'
– 10'
(180cm
– 3m)","6'
– 10'
(180cm
– 3m)",average,4,,moist but well-drained,8,rabbit,beds and borders,city and courtyardcoastal gardeninformal and cottagejapanese gardentraditional garden,10,12,11,12,6,10,180,300.0,2,0
acer palmatum orange dream japanese maple,"5
– 8",12,shrubs,4,"full sun, partial sun",2,"8'
– 10'
(240cm
– 3m)","5'
– 6'
(150cm
– 180cm)",average,4,,moist but well-drained,9,rabbit,beds and borderspatio and containerssmall gardens,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,12,12,13,12,5,6,150,180.0,2,5
acer palmatum orangeola laceleaf japanese maple,"6
– 9",12,"shrubs, trees",4,"full sun, partial sun",2,"4'
– 8'
(120cm
– 240cm)","3'
– 7'
 (90cm
– 210cm)",average,4,,moist but well-drained,9,rabbit,beds and borderspatio and containerssmall gardens,city and courtyardinformal and cottagejapanese gardentraditional garden,2,13,2,13,3,7,90,210.0,0,0
acer palmatum ornatum laceleaf japanese maple,"6
– 9",17,shrubs,4,"full sun, partial sun",2,"8'
– 15'
(240cm
– 4.5m)","8'
– 10'
(240cm
– 3m)",average,4,,moist but well-drained,9,rabbit,beds and borders,city and courtyardcoastal gardeninformal and cottagejapanese gardentraditional garden,12,8,13,8,8,10,240,300.0,0,0
acer palmatum osakazuki japanese maple,"5
 – 8",12,"shrubs, trees",4,"full sun, partial sun",2,"15'
– 25'
(4.5m
– 7.5m)","10'
– 15'
(3m
– 4.5m)",average,4,,moist but well-drained,9,rabbit,beds and borders,city and courtyardinformal and cottagejapanese gardentraditional garden,8,4,9,4,10,15,300,450.0,2,5
acer palmatum red dragon laceleaf japanese maple,"5
– 8",12,shrubs,4,"full sun, partial sun",2,"6'
– 8'
(180cm
– 240cm)","6'
– 8'
(180cm
– 240cm)",average,6,,moist but well-drained,8,rabbit,beds and borderspatio and containerssmall gardens,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,10,13,11,13,6,8,180,240.0,2,5
acer palmatum sangokaku coral bark maple,"5
– 8",12,"shrubs, trees",4,"full sun, partial sun",2,"20'
– 25'
(6m
– 7.5m)","15'
– 20'
(4.5m
– 6m)",average,4,,moist but well-drained,9,rabbit,beds and borders,city and courtyardinformal and cottagejapanese gardentraditional garden,4,4,4,4,15,20,450,600.0,2,5
acer palmatum seiryu laceleaf japanese maple,"5
– 9",14,shrubs,4,"full sun, partial sun",2,"10'
– 15'
(3m
– 4.5m)","8'
– 12'
(240cm
– 3.6m)",average,4,,moist but well-drained,9,rabbit,beds and borderspatio and containers,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,5,8,5,8,8,12,240,360.0,2,0
acer palmatum shaina japanese maple,"5
– 9",13,"shrubs, trees",4,"full sun, partial sun",2,"4'
– 6'
(120cm
– 180cm)","3'
– 4'
(90cm
– 120cm)",average,4,,moist but well-drained,8,rabbit,beds and borderspatio and containerssmall gardens,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,2,2,2,2,3,4,90,120.0,2,0
acer palmatum shindeshojo japanese maple,"5
– 9",12,"shrubs, trees",4,"full sun, partial sun",2,"5'
– 10'
(150cm
– 3m)","5'
– 10'
(150cm
– 3m)",average,6,,moist but well-drained,9,rabbit,beds and borderspatio and containerssmall gardens,city and courtyardinformal and cottagejapanese gardentraditional garden,11,12,12,12,5,10,150,300.0,2,0
acer palmatum skeeters broom japanese maple,"5
– 8",12,shrubs,4,"full sun, partial sun",2,"4'
– 6'
(120cm
– 180cm)","4'
– 6'
(120cm
– 180cm)",average,1,,moist but well-drained,8,rabbit,beds and borderspatio and containerssmall gardens,city and courtyardinformal and cottagejapanese gardentraditional garden,2,2,2,2,4,6,120,180.0,2,5
acer palmatum tamukeyama japanese maple,"5
– 8",12,"shrubs, trees",4,"full sun, partial sun",2,"6'
– 10'
(180cm
– 3m)","10'
– 12'
(3m
– 3.6m)",average,4,,moist but well-drained,8,rabbit,banks and slopespatio and containers,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,10,12,11,12,10,12,300,360.0,2,5
acer palmatum trompenburg japanese maple,"5
– 8",12,"shrubs, trees",4,"full sun, partial sun",2,"15'
– 25'
(4.5m
– 7.5m)","10'
– 15'
(3m
– 4.5m)",average,4,,moist but well-drained,9,rabbit,beds and borders,city and courtyardinformal and cottagejapanese gardentraditional garden,8,4,9,4,10,15,300,450.0,2,5
acer palmatum twomblys red sentinel japanese maple,"5
 – 9",12,"shrubs, trees",4,"full sun, partial sun",2,"10'
– 15'
(3m
– 4.5m)","7'
– 8'
(210cm
– 240cm)",average,4,,moist but well-drained,8,rabbit,beds and borderspatio and containerssmall gardens,city and courtyardinformal and cottagejapanese gardentraditional garden,5,8,5,8,7,8,210,240.0,2,0
acer palmatum ukigumo japanese maple,"6
– 9",12,"shrubs, trees",4,partial sun,2,"7'
– 12'
(210cm
– 3.6m)","4'
– 8'
(120cm
– 240cm)",average,1,,moist but well-drained,8,rabbit,beds and borderspatio and containerssmall gardens,city and courtyardinformal and cottagejapanese gardentraditional garden,9,5,10,5,4,8,120,240.0,0,0
acer palmatum wilsons pink dwarf japanese maple,"6
– 9",12,"shrubs, trees",4,"full sun, partial sun",2,"2'
– 4'
(60cm
– 120cm)","5'
– 6'
(150cm
– 180cm)",average,4,,moist but well-drained,8,rabbit,beds and borderspatio and containerssmall gardens,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,1,15,1,15,5,6,150,180.0,0,0
acer palmatum dissectum viride group laceleaf japanese maple,"5
– 8",12,shrubs,4,"full sun, partial sun",2,"6'
– 10'
(180cm
– 3m)","6'
– 10'
(180cm
– 3m)",average,4,,moist but well-drained,8,rabbit,beds and borderspatio and containers,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,10,12,11,12,6,10,180,300.0,2,5
aesculus pavia red buckeye,"5
 – 9",18,"shrubs, trees",5,"full sun, partial sun",5,"12'
– 15'
(3.6m
– 4.5m)","12'
– 15'
(3.6m
– 4.5m)","low, average",4,,"moist but well-drained, well-drained",10,"clay soil, dry soil",hedges and screenssmall gardens,prairie and meadow,6,8,7,8,12,15,360,450.0,2,0
albizia julibrissin summer chocolate silk tree,"6
– 9",19,"shrubs, trees",6,full sun,3,"15'
– 20'
(4.5m
– 6m)","18'
– 20'
(5.4m
– 6m)",average,0,,well-drained,11,"deer, drought",beds and borders,city and courtyardcoastal gardenmediterranean garden,8,10,9,10,18,20,540,600.0,0,0
albizia julibrissin chocolate fountain silk tree,"6
– 10",19,"shrubs, trees",6,full sun,3,"15'
– 20'
(4.5m
– 6m)","13'
– 15'
(3.9m
– 4.5m)",average,0,,well-drained,7,"deer, drought",beds and borders,city and courtyardcoastal gardenmediterranean garden,8,10,9,10,13,15,390,450.0,0,3
aloe arborescens torch aloe,"9
– 11",20,"cactus - succulents, shrubs",7,full sun,2,"6'
– 10'
(180cm
– 3m)","6'
– 10'
(180cm
– 3m)",low,2,,well-drained,1,"deer, drought, salt",beds and bordershedges and screenspatio and containers,coastal gardengravel and rock gardeninformal and cottagemediterranean garden,10,12,11,12,6,10,180,300.0,5,4
aloe plicatilis fan aloe,"9
– 12",7,"cactus - succulents, shrubs",7,full sun,2,"4'
– 8'
(120cm
– 240cm)","4'
– 6'
(120cm
– 180cm)",low,2,,well-drained,3,"deer, drought",beds and borderspatio and containers,coastal gardengravel and rock gardenmediterranean garden,2,13,2,13,4,6,120,180.0,5,6
amelanchier alnifolia regent serviceberry,"2
– 7",21,shrubs,8,"full sun, partial sun",5,"3'
– 6'
(90cm
– 180cm)","3'
– 6'
(90cm
– 180cm)",average,2,,"moist but well-drained, well-drained",12,drought,beds and bordershedges and screens,city and courtyardinformal and cottageprairie and meadowtraditional garden,0,2,0,2,3,6,90,180.0,7,1
amelanchier alnifolia serviceberry,"2
– 7",22,shrubs,8,"full sun, partial sun",5,"10'
– 15'
(3m
– 4.5m)","10'
– 15'
(3m
– 4.5m)",average,2,,"moist but well-drained, well-drained",13,drought,beds and bordershedges and screens,city and courtyardinformal and cottageprairie and meadowtraditional garden,5,8,5,8,10,15,300,450.0,7,1
amelanchier canadensis canadian serviceberry,"4
– 8",21,"shrubs, trees",8,"full sun, partial sun",5,"25'
– 30'
(7.5m
– 9m)","15'
– 20'
(4.5m
– 6m)","low, average, high",1,,"moist but well-drained, well-drained",13,"clay soil, dry soil, wet soil",banks and slopeshedges and screensponds and streams,city and courtyardinformal and cottageprairie and meadow,13,7,14,7,15,20,450,600.0,1,5
amelanchier utahensis utah serviceberry,"4
– 8",23,shrubs,8,"full sun, partial sun",5,"10'
– 15'
(3m
– 4.5m)","10'
– 15'
(3m
– 4.5m)",low,1,,well-drained,10,"clay soil, drought, dry soil, rocky soil",hedges and screens,informal and cottageprairie and meadow,5,8,5,8,10,15,300,450.0,1,5
arbutus unedo strawberry tree,"7
– 10",24,"shrubs, trees",9,"full sun, partial sun",2,"6'
– 15'
(180cm
– 4.5m)","6'
– 15'
(180cm
– 4.5m)","low, average",7,,"moist but well-drained, well-drained",14,drought,beds and bordershedges and screenspatio and containers,coastal gardeninformal and cottagemediterranean garden,10,8,11,8,6,15,180,450.0,8,3
arctostaphylos glauca big berry manzanita,"8
– 10",25,"shrubs, trees",10,full sun,2,"15'
– 20'
(4.5m
– 6m)","15'
– 20'
(4.5m
– 6m)",low,1,,well-drained,15,"deer, drought",banks and slopeshedges and screens,mediterranean garden,8,10,9,10,15,20,450,600.0,3,3
arctostaphylos manzanita common manzanita,"8
– 10",25,shrubs,10,"full sun, partial sun",2,"10'
– 12'
(3m
– 3.6m)","10'
– 12'
(3m
– 3.6m)",low,1,,well-drained,15,"deer, drought",banks and slopeshedges and screens,mediterranean garden,5,5,5,5,10,12,300,360.0,3,3
arctostaphylos uvaursi massachusetts bearberry,"2
– 6",26,shrubs,10,"full sun, partial sun",2,"6""
– 1'
(15cm
– 30cm)","3'
– 6'
(90cm
– 180cm)",low,2,,well-drained,15,"drought, dry soil, rocky soil",banks and slopesbeds and bordersground coverspatio and containersunderplanting roses and shrubs,coastal gardengravel and rock gardeninformal and cottage,10,6,15,6,3,6,90,180.0,7,2
arctostaphylos uvaursi vancouver jade bearberry,"2
– 6",26,shrubs,10,"full sun, partial sun",2,"4""
– 6""
(10cm
– 15cm)","2'
– 3'
(60cm
– 90cm)",low,2,,well-drained,15,"drought, dry soil, rocky soil",banks and slopesbeds and bordersground coverspatio and containersunderplanting roses and shrubs,coastal gardengravel and rock gardeninformal and cottage,2,2,16,16,2,3,60,90.0,7,2
arctostaphylos uvaursi bearberry,"2
– 6",26,shrubs,10,"full sun, partial sun",2,"6""
– 1'
(15cm
– 30cm)","3'
– 6'
(90cm
– 180cm)",low,2,,well-drained,15,"drought, dry soil, rocky soil, salt",banks and slopesbeds and bordersground coverspatio and containersunderplanting roses and shrubs,coastal gardengravel and rock gardeninformal and cottage,10,6,15,6,3,6,90,180.0,7,2
aronia arbutifolia brilliantissima red chokeberry,"4
– 9",27,shrubs,11,"full sun, partial sun",5,"6'
– 10'
(180cm
– 3m)","3'
– 5'
(90cm
– 150cm)",average,3,,moist but well-drained,16,"deer, dry soil, wet soil",beds and bordershedges and screensponds and streams,informal and cottageprairie and meadowtraditional garden,10,12,11,12,3,5,90,150.0,1,0
aronia arbutifolia red chokeberry,"4
– 9",28,shrubs,11,"full sun, partial sun",5,"5'
– 10'
(150cm
– 3m)","3'
– 5'
(90cm
– 150cm)",average,3,,moist but well-drained,17,"deer, dry soil, wet soil",beds and bordershedges and screensponds and streams,informal and cottageprairie and meadowtraditional garden,11,12,12,12,3,5,90,150.0,1,0
