,Name,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Soil Type,Soil pH,Soil Drainage,Characteristics,Tolerance,Garden Uses,Garden Styles
16,Abies koreana 'Silver Show' (Korean Fir),"5
– 7","3, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Conifers, Shrubs,  Trees",Abies - Firs,Full Sun,"Spring (Early,Mid,Late)","10'
– 12'
(3m
– 3.6m)","6'
– 8'
(180cm
– 240cm)",Average,"Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Showy, Evergreen, Fruit & Berries","Deer, Drought",Beds and Borders,"Informal and Cottage,Traditional Garden"
17,Abies lasiocarpa 'Green Globe' (Alpine Fir),"5
– 6","1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, A2, A3","Conifers, Shrubs",Abies - Firs,Full Sun,"Spring (Early,Mid,Late)","2'
– 5'
(60cm
– 150cm)","2'
 – 5'
(60cm
– 150cm)",Average,"Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Showy, Evergreen, Fruit & Berries",,Beds and Borders,"City and Courtyard,Gravel and Rock Garden,Informal and Cottage,Traditional Garden"
18,Abies nordmanniana 'Golden Spreader' (Caucasian Fir),"4
– 6","1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B,  4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Conifers, Shrubs, Trees",Abies - Firs,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","2'
– 3'
(60cm
– 90cm)","4'
– 5'
(120cm
– 150cm)",Average,"Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Plant of Merit, Showy, Evergreen, Fruit & Berries",Deer,"Beds and Borders,Patio and Containers","City and Courtyard,Gravel and Rock Garden,Informal and Cottage,Traditional Garden"
19,Abies procera 'Blaue Hexe' (Blue Noble Fir),"5
– 6","2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 15, 16, 17","Conifers, Shrubs",Abies - Firs,Full Sun,"Spring (Early,Mid,Late)","1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)",Average,"Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Showy, Evergreen",,"Patio and Containers,Small Gardens","Gravel and Rock Garden,Informal and Cottage,Traditional Garden"
20,Abutilon 'Lucky Lantern Red' (Flowering Maple),"8
– 10","8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2",Shrubs,Abutilon,"Full Sun, Partial Sun","Summer (Early,Mid,Late)","10""
– 1'
(25cm
– 30cm)","10""
– 1'
(25cm
– 30cm)",Average,"Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Showy, Semi-Evergreen",Drought,"Beds and Borders,Hanging Baskets,Patio and Containers",Mediterranean Garden
21,Abutilon 'Lucky Lantern Tangerine' (Flowering Maple),"8
– 10","8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2",Shrubs,Abutilon,"Full Sun, Partial Sun","Summer (Early,Mid,Late)","10""
– 1'
(25cm
– 30cm)","10""
– 1'
(25cm
– 30cm)",Average,"Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Showy, Semi-Evergreen",Drought,"Beds and Borders,Hanging Baskets,Patio and Containers",Mediterranean Garden
22,Abutilon 'Lucky Lantern White' (Flowering Maple),"8
– 10","8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2",Shrubs,Abutilon,"Full Sun, Partial Sun","Summer (Early,Mid,Late)","10""
– 1'
(25cm
– 30cm)","10""
– 1'
(25cm
– 30cm)",Average,"Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Showy, Semi-Evergreen",Drought,"Beds and Borders,Hanging Baskets,Patio and Containers",Mediterranean Garden
23,Abutilon 'Lucky Lantern Yellow' (Flowering Maple),"8
– 10","8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2",Shrubs,Abutilon,"Full Sun, Partial Sun","Summer (Early,Mid,Late)","10""
– 1'
(25cm
– 30cm)","10""
– 1'
(25cm
– 30cm)",Average,"Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Showy, Semi-Evergreen",Drought,"Beds and Borders,Hanging Baskets,Patio and Containers",Mediterranean Garden
24,Abutilon 'Souvenir de Bonn' (Flowering Maple),"8
– 11","8, 9, 12, 13, 14, 15, 16, 17, 18, 19,  20, 21, 22, 23, 24, H1, H2",Shrubs,Abutilon,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","8'
– 10'
(240cm
– 3m)","4'
– 6'
(120cm
– 180cm)",Average,"Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Plant of Merit, Showy, Evergreen",,"Patio and Containers,Wall-Side Borders",Mediterranean Garden
25,Abutilon 'Victor Reiter' (Flowering Maple),"9
– 11","8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22,  23, 24, H1, H2","Shrubs, Trees",Abutilon,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","5'
– 6'
(150cm
– 180cm)","3'
– 4'
(90cm
– 120cm)",Average,"Chalk, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Showy, Evergreen",,"Patio and Containers,Wall-Side Borders","Informal and Cottage,Mediterranean Garden"
26,Abutilon megapotamicum 'Variegatum' (Trailing Abutilon),"8
– 11","8, 9,  12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2",Shrubs,Abutilon,"Full Sun, Partial Sun","Summer (Early,Mid,Late)","2'
– 6'
(60cm
– 180cm)","3'
– 5'
(90cm
– 150cm)",Average,"Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Plant of Merit, Showy, Semi-Evergreen",,"Beds and Borders,Hanging Baskets,Patio and Containers,Wall-Side Borders",Mediterranean Garden
27,Abutilon megapotamicum (Trailing Abutilon),"8
– 11","8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2",Shrubs,Abutilon,"Full Sun, Partial Sun","Summer (Early,Mid,Late)","5'
– 8'
(150cm
– 240cm)","5'
– 8'
(150cm
– 240cm)",Average,"Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Plant of Merit, Showy, Semi-Evergreen",,"Beds and Borders,Hanging Baskets,Patio and Containers,Wall-Side Borders",Mediterranean Garden
28,Abutilon pictum 'Thompsonii' (Painted Abutilon),"8
– 10","8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2","Shrubs, Trees",Abutilon,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","6'
– 10'
(180cm
– 3m)","4'
– 8'
(120cm
– 240cm)",Average,"Chalk, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Plant of Merit, Showy, Evergreen",,"Beds and Borders,Patio and Containers,Wall-Side Borders","City and Courtyard,Informal and Cottage,Mediterranean Garden"
29,Abutilon striatum (Red Vein Indian Mallow),"8
– 11","8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2",Shrubs,Abutilon,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","4'
 – 6'
(120cm
– 180cm)","3'
– 4'
(90cm
– 120cm)",Average,"Chalk, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Showy, Evergreen",,"Patio and Containers,Wall-Side Borders",Mediterranean Garden
30,Acacia baileyana 'Purpurea' (Cootamundra Wattle),"10
– 11","8, 9, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Shrubs, Trees",Acacia,Full Sun,"Spring (Early,Mid,Late)","20'
– 30'
(6m
– 9m)","20'
– 30'
(6m
– 9m)",Average,"Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Fragrant, Plant of Merit, Showy, Evergreen",Deer,"Banks and Slopes,Wall-Side Borders",Mediterranean Garden
31,Acacia baileyana (Cootamundra Wattle),"10
– 11","8, 9, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Shrubs, Trees",Acacia,Full Sun,"Spring (Early,Mid,Late)","20'
– 30'
(6m
– 9m)","20'
– 40'
(6m
– 12m)",Average,"Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Plant of Merit, Showy, Evergreen",Deer,"Banks and Slopes,Wall-Side Borders",Mediterranean Garden
32,Acacia craspedocarpa (Leatherleaf Acacia),"8
– 11","8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Shrubs, Trees",Acacia,Full Sun,"Spring (Early,Mid,Late)","12'
– 15'
(3.6m
– 4.5m)","12'
– 15'
(3.6m
– 4.5m)",Low,"Loam, Sand","Alkaline, Neutral",Well-Drained,"Showy, Evergreen","Deer, Drought, Salt","Hedges and Screens,Wall-Side Borders","City and Courtyard,Coastal Garden,Informal and Cottage,Mediterranean Garden"
33,Acacia dealbata (Silver Wattle),"9
– 11","8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Shrubs, Trees",Acacia,Full Sun,"Spring (Early,Mid,Late)","40'
– 50'
(12m
– 15m)","40'
– 50'
(12m
– 15m)",Low,"Loam, Sand","Acid, Neutral",Well-Drained,"Fragrant, Plant of Merit, Showy, Evergreen","Deer, Drought","Banks and Slopes,Beds and Borders,Patio and Containers,Wall-Side Borders","City and Courtyard,Informal and Cottage,Mediterranean Garden"
34,Acacia farnesiana (Sweet Acacia),"9
– 11","13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Shrubs, Trees",Acacia,"Full Sun, Partial Sun","Spring (Early,Mid)","15'
– 20'
(4.5m
– 6m)","15'
– 20'
(4.5m
– 6m)","Low, Average","Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy","Deer, Drought, Dry Soil, Salt",Hedges and Screens,Mediterranean Garden
35,Acacia podalyriifolia (Pearl Acacia),11,"8, 9, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Shrubs, Trees",Acacia,Full Sun,"Spring (Early,Mid,Late)","10'
– 20'
(3m
– 6m)","10'
– 20'
(3m
– 6m)",Low,"Loam, Sand","Acid, Neutral",Well-Drained,"Fragrant, Showy, Evergreen",Deer,,Mediterranean Garden
36,Acacia retinodes (Swamp Wattle),"10
– 11","8, 9, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Shrubs, Trees",Acacia,Full Sun,"Spring (Early,Mid,Late)","15'
– 20'
(4.5m
– 6m)","10'
– 15'
(3m
– 4.5m)",Average,"Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Plant of Merit, Showy, Evergreen",Deer,Wall-Side Borders,"City and Courtyard,Coastal Garden,Mediterranean Garden"
37,Acalypha hispida (Chenille Plant),"10
– 11","24, H2",Shrubs,,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","4'
– 6'
(120cm
– 180cm)","6'
– 8'
(180cm
– 240cm)",Average,"Chalk, Clay, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Plant of Merit, Showy, Evergreen",Clay Soil,"Beds and Borders,Patio and Containers",
38,Acalypha reptans (Dwarf Chenille),"9
– 11","24, H2",Shrubs,,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)",Average,"Chalk, Clay, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Showy, Evergreen",Clay Soil,"Beds and Borders,Patio and Containers",
39,Acalypha wilkesiana (Jacob's Coat),"10
– 11","24, H2",Shrubs,,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","2'
– 4'
(60cm
– 120cm)","2'
– 4'
(60cm
– 120cm)",Average,"Chalk, Clay, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Plant of Merit, Showy, Evergreen",,"Beds and Borders,Patio and Containers",
40,Acca sellowiana (Pineapple Guava),"8
– 11","7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21,  22, 23, 24, H1, H2","Fruit, Shrubs, Trees",,Full Sun,"Spring (Early,Late)","6'
– 15'
(180cm
– 4.5m)","6'
– 15'
(180cm
– 4.5m)","Low, Average","Chalk, Loam, Sand","Alkaline, Neutral",Well-Drained,"Showy, Evergreen, Fruit & Berries","Drought, Salt","Hedges and Screens,Wall-Side Borders","City and Courtyard,Coastal Garden,Mediterranean Garden"
41,Acer circinatum (Vine Maple),"6
– 9","2, 2B, 3, 3A, 3B, 4, 5, 6, 14, 15, 16, 17, A3","Shrubs, Trees",Acer - Maples,"Full Sun, Partial Sun","Spring (Mid,Late)","15'
– 25'
(4.5m
– 7.5m)","15'
– 20'
(4.5m
– 6m)",Average,"Clay, Loam","Acid, Alkaline, Neutral",Moist but Well-Drained,Showy,Deer,Rain Gardens,"Informal and Cottage,Prairie and Meadow"
42,Acer ginnala (Amur Maple),"3
– 7","1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, A1, A2, A3","Shrubs, Trees",Acer - Maples,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","15'
– 20'
(4.5m
– 6m)","15'
– 20'
(4.5m
– 6m)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained,  Well-Drained",Showy,"Clay Soil, Drought, Dry Soil",Patio and Containers,"City and Courtyard,Gravel and Rock Garden,Informal and Cottage"
43,Acer japonicum 'Aconitifolium' (Full Moon Maple),"5
– 7","2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 14, 15, 16","Shrubs, Trees",Acer - Maples,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","8'
– 10'
(240cm
– 3m)","8'
– 10'
(240cm
– 3m)",Average,"Chalk, Clay, Loam,  Sand","Acid, Neutral",Moist but Well-Drained,"Plant of Merit, Showy",,"Beds and Borders,Patio and Containers,Small Gardens","City and Courtyard,Informal and Cottage,Japanese Garden,Traditional Garden"
44,Acer japonicum 'Vitifolium' (Full Moon Maple),"5
– 7","2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 14, 15, 16","Shrubs, Trees",Acer - Maples,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","10'
– 15'
(3m
– 4.5m)","10'
– 15'
(3m
– 4.5m)",Average,"Chalk, Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Plant of Merit, Showy",,Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden,Traditional Garden"
45,Acer palmatum 'Aka Kawa Hime' (Coral Bark Maple),"5
– 9","2, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, A3","Shrubs, Trees",Acer - Maples,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","7'
– 9'
(210cm
– 270cm)","5'
– 6'
(150cm
– 180cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,Showy,Rabbit,"Beds and Borders,Patio and Containers,Small Gardens","City and Courtyard,Gravel and Rock Garden,Informal and Cottage,Japanese Garden,Traditional Garden"
46,Acer palmatum 'Ariadne' (Japanese Maple),"5
– 9","2, 2B, 3, 3A, 3B,  4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, A3","Shrubs, Trees",Acer - Maples,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","6'
– 10'
(180cm
– 3m)","10'
– 12'
(3m
– 3.6m)",Average,"Chalk, Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Plant of Merit, Showy",Rabbit,"Beds and Borders,Patio and Containers,Small Gardens","City and Courtyard,Informal and Cottage,Japanese Garden,Traditional Garden"
47,Acer palmatum 'Beni-Kawa' (Coral Bark Maple),"5
– 9","2, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, A3","Shrubs, Trees",Acer - Maples,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","5'
– 15'
(150cm
– 4.5m)","5'
– 15'
(150cm
– 4.5m)",Average,"Chalk, Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,Showy,Rabbit,"Beds and Borders,Patio and Containers","City and Courtyard,Gravel and Rock Garden,Informal and Cottage,Japanese Garden,Traditional Garden"
48,Acer palmatum 'Beni-Maiko' (Japanese Maple),"5
– 8","2, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, A3","Shrubs, Trees",Acer - Maples,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","4'
– 6'
(120cm
– 180cm)","4'
– 6'
(120cm
– 180cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Plant of Merit, Showy",Rabbit,"Beds and Borders,Patio and Containers,Small Gardens","City and Courtyard,Gravel and Rock Garden,Informal and Cottage,Japanese Garden,Traditional Garden"
49,Acer palmatum 'Beni-Tsukasa' (Japanese Maple),"5
– 9","2, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16,  17, 18, 19, 20, 21, 22, 23, 24, A3",Shrubs,Acer - Maples,"Full Sun, Partial Sun","Spring (Early,Mid,Late)","10'
– 12'
(3m
– 3.6m)","10'
– 12'
(3m
– 3.6m)",Average,"Chalk, Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Plant of Merit, Showy",Rabbit,"Beds and Borders,Patio and Containers,Small Gardens","City and Courtyard,Informal and Cottage,Japanese Garden,Traditional Garden"
