Unnamed: 0,Name,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Soil Type,Soil pH,Soil Drainage,Characteristics,Tolerance,Garden Uses,Garden Styles,Min-Height(feet),Max-Height(feet),Min-Height(cm),Max-Height(cm),Min-Spread(feet),Max-Spread(feet),Min-Spread(cm),Max-Spread(cm),Hardiness(Min),Hardiness(Max)
12,abies koreana blauer eskimo korean fir,"5
– 7","3, 3b, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","conifers, shrubs",abies - firs,full sun,"spring (early,mid,late)","1'
– 2'
(30cm
– 60cm)","10""
– 1'
(25cm
– 30cm)",average,"clay, loam, sand",,moist but well-drained,"plant of merit, showy, evergreen","deer, drought",beds and borderspatio and containerssmall gardens,gravel and rock gardeninformal and cottagetraditional garden,1,2,30,60,10,1,25,30,5,7
13,abies koreana green carpet korean fir,"5
– 7","3, 3b, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","conifers, shrubs",abies - firs,full sun,"spring (early,mid,late)","1'
– 2'
(30cm
– 60cm)","5'
– 6'
(150cm
– 180cm)",average,"clay, loam, sand",,moist but well-drained,"showy, evergreen, fruit & berries","deer, drought",beds and bordersground coverspatio and containerssmall gardens,gravel and rock gardeninformal and cottagetraditional garden,1,2,30,60,5,6,150,180,5,7
14,abies koreana kohouts ice breaker korean fir,"5
– 7","3, 3b, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20,  21, 22, 23, 24","conifers, shrubs, trees",abies - firs,full sun,"spring (early,mid,late)","1'
– 2'
(30cm
– 60cm)","2'
– 3'
(60cm
– 90cm)",average,"clay, loam, sand",,moist but well-drained,"plant of merit, showy, evergreen","deer, drought",beds and borderspatio and containerssmall gardens,gravel and rock gardeninformal and cottagetraditional garden,1,2,30,60,2,3,60,90,5,7
15,abies koreana silberperle korean fir,"5
– 7","3, 3b, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","conifers, shrubs",abies - firs,full sun,"spring (early,mid,late)","1'
– 2'
(30cm
– 60cm)","1'
– 2'
(30cm
– 60cm)",average,"clay, loam, sand",,moist but well-drained,"showy, evergreen","deer, drought",beds and borderspatio and containerssmall gardens,gravel and rock gardeninformal and cottagetraditional garden,1,2,30,60,1,2,30,60,5,7
16,abies koreana silver show korean fir,"5
– 7","3, 3b, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","conifers, shrubs,  trees",abies - firs,full sun,"spring (early,mid,late)","10'
– 12'
(3m
– 3.6m)","6'
– 8'
(180cm
– 240cm)",average,"clay, loam, sand",,moist but well-drained,"showy, evergreen, fruit & berries","deer, drought",beds and borders,informal and cottagetraditional garden,10,12,300,360,6,8,180,240,5,7
18,abies nordmanniana golden spreader caucasian fir,"4
– 6","1, 1a, 1b, 2, 2a, 2b, 3, 3a, 3b,  4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","conifers, shrubs, trees",abies - firs,"full sun, partial sun","spring (early,mid,late)","2'
– 3'
(60cm
– 90cm)","4'
– 5'
(120cm
– 150cm)",average,"clay, loam, sand",,moist but well-drained,"plant of merit, showy, evergreen, fruit & berries",deer,beds and borderspatio and containers,city and courtyardgravel and rock gardeninformal and cottagetraditional garden,2,3,60,90,4,5,120,150,4,6
20,abutilon lucky lantern red flowering maple,"8
– 10","8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, h1, h2",shrubs,abutilon,"full sun, partial sun","summer (early,mid,late)","10""
– 1'
(25cm
– 30cm)","10""
– 1'
(25cm
– 30cm)",average,"loam, sand",,"moist but well-drained, well-drained","showy, semi-evergreen",drought,beds and bordershanging basketspatio and containers,mediterranean garden,10,1,25,30,10,1,25,30,8,10
21,abutilon lucky lantern tangerine flowering maple,"8
– 10","8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, h1, h2",shrubs,abutilon,"full sun, partial sun","summer (early,mid,late)","10""
– 1'
(25cm
– 30cm)","10""
– 1'
(25cm
– 30cm)",average,"loam, sand",,"moist but well-drained, well-drained","showy, semi-evergreen",drought,beds and bordershanging basketspatio and containers,mediterranean garden,10,1,25,30,10,1,25,30,8,10
22,abutilon lucky lantern white flowering maple,"8
– 10","8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, h1, h2",shrubs,abutilon,"full sun, partial sun","summer (early,mid,late)","10""
– 1'
(25cm
– 30cm)","10""
– 1'
(25cm
– 30cm)",average,"loam, sand",,"moist but well-drained, well-drained","showy, semi-evergreen",drought,beds and bordershanging basketspatio and containers,mediterranean garden,10,1,25,30,10,1,25,30,8,10
23,abutilon lucky lantern yellow flowering maple,"8
– 10","8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, h1, h2",shrubs,abutilon,"full sun, partial sun","summer (early,mid,late)","10""
– 1'
(25cm
– 30cm)","10""
– 1'
(25cm
– 30cm)",average,"loam, sand",,"moist but well-drained, well-drained","showy, semi-evergreen",drought,beds and bordershanging basketspatio and containers,mediterranean garden,10,1,25,30,10,1,25,30,8,10
30,acacia baileyana purpurea cootamundra wattle,"10
– 11","8, 9, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","shrubs, trees",acacia,full sun,"spring (early,mid,late)","20'
– 30'
(6m
– 9m)","20'
– 30'
(6m
– 9m)",average,"loam, sand",,moist but well-drained,"fragrant, plant of merit, showy, evergreen",deer,banks and slopeswall-side borders,mediterranean garden,20,30,600,900,20,30,600,900,10,11
31,acacia baileyana cootamundra wattle,"10
– 11","8, 9, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","shrubs, trees",acacia,full sun,"spring (early,mid,late)","20'
– 30'
(6m
– 9m)","20'
– 40'
(6m
– 12m)",average,"loam, sand",,moist but well-drained,"plant of merit, showy, evergreen",deer,banks and slopeswall-side borders,mediterranean garden,20,30,600,900,20,40,600,1200,10,11
32,acacia craspedocarpa leatherleaf acacia,"8
– 11","8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","shrubs, trees",acacia,full sun,"spring (early,mid,late)","12'
– 15'
(3.6m
– 4.5m)","12'
– 15'
(3.6m
– 4.5m)",low,"loam, sand",,well-drained,"showy, evergreen","deer, drought, salt",hedges and screenswall-side borders,city and courtyardcoastal gardeninformal and cottagemediterranean garden,12,15,360,450,12,15,360,450,8,11
33,acacia dealbata silver wattle,"9
– 11","8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","shrubs, trees",acacia,full sun,"spring (early,mid,late)","40'
– 50'
(12m
– 15m)","40'
– 50'
(12m
– 15m)",low,"loam, sand",,well-drained,"fragrant, plant of merit, showy, evergreen","deer, drought",banks and slopesbeds and borderspatio and containerswall-side borders,city and courtyardinformal and cottagemediterranean garden,40,50,1200,1500,40,50,1200,1500,9,11
34,acacia farnesiana sweet acacia,"9
– 11","13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","shrubs, trees",acacia,"full sun, partial sun","spring (early,mid)","15'
– 20'
(4.5m
– 6m)","15'
– 20'
(4.5m
– 6m)","low, average","loam, sand",,"moist but well-drained, well-drained","fragrant, showy","deer, drought, dry soil, salt",hedges and screens,mediterranean garden,15,20,450,600,15,20,450,600,9,11
36,acacia retinodes swamp wattle,"10
– 11","8, 9, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","shrubs, trees",acacia,full sun,"spring (early,mid,late)","15'
– 20'
(4.5m
– 6m)","10'
– 15'
(3m
– 4.5m)",average,"loam, sand",,"moist but well-drained, well-drained","plant of merit, showy, evergreen",deer,wall-side borders,city and courtyardcoastal gardenmediterranean garden,15,20,450,600,10,15,300,450,10,11
41,acer circinatum vine maple,"6
– 9","2, 2b, 3, 3a, 3b, 4, 5, 6, 14, 15, 16, 17, a3","shrubs, trees",acer - maples,"full sun, partial sun","spring (mid,late)","15'
– 25'
(4.5m
– 7.5m)","15'
– 20'
(4.5m
– 6m)",average,"clay, loam",,moist but well-drained,showy,deer,rain gardens,informal and cottageprairie and meadow,15,25,450,750,15,20,450,600,6,9
42,acer ginnala amur maple,"3
– 7","1, 1a, 1b, 2, 2a, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 14, 15, 16, a1, a2, a3","shrubs, trees",acer - maples,"full sun, partial sun","spring (early,mid,late)","15'
– 20'
(4.5m
– 6m)","15'
– 20'
(4.5m
– 6m)",average,"chalk, clay, loam, sand",,"moist but well-drained,  well-drained",showy,"clay soil, drought, dry soil",patio and containers,city and courtyardgravel and rock gardeninformal and cottage,15,20,450,600,15,20,450,600,3,7
45,acer palmatum aka kawa hime coral bark maple,"5
– 9","2, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, a3","shrubs, trees",acer - maples,"full sun, partial sun","spring (early,mid,late)","7'
– 9'
(210cm
– 270cm)","5'
– 6'
(150cm
– 180cm)",average,"chalk, clay, loam, sand",,moist but well-drained,showy,rabbit,beds and borderspatio and containerssmall gardens,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,7,9,210,270,5,6,150,180,5,9
46,acer palmatum ariadne japanese maple,"5
– 9","2, 2b, 3, 3a, 3b,  4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, a3","shrubs, trees",acer - maples,"full sun, partial sun","spring (early,mid,late)","6'
– 10'
(180cm
– 3m)","10'
– 12'
(3m
– 3.6m)",average,"chalk, clay, loam, sand",,moist but well-drained,"plant of merit, showy",rabbit,beds and borderspatio and containerssmall gardens,city and courtyardinformal and cottagejapanese gardentraditional garden,6,10,180,300,10,12,300,360,5,9
47,acer palmatum benikawa coral bark maple,"5
– 9","2, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, a3","shrubs, trees",acer - maples,"full sun, partial sun","spring (early,mid,late)","5'
– 15'
(150cm
– 4.5m)","5'
– 15'
(150cm
– 4.5m)",average,"chalk, clay, loam, sand",,moist but well-drained,showy,rabbit,beds and borderspatio and containers,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,5,15,150,450,5,15,150,450,5,9
48,acer palmatum benimaiko japanese maple,"5
– 8","2, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, a3","shrubs, trees",acer - maples,"full sun, partial sun","spring (early,mid,late)","4'
– 6'
(120cm
– 180cm)","4'
– 6'
(120cm
– 180cm)",average,"chalk, clay, loam, sand",,moist but well-drained,"plant of merit, showy",rabbit,beds and borderspatio and containerssmall gardens,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,4,6,120,180,4,6,120,180,5,8
49,acer palmatum benitsukasa japanese maple,"5
– 9","2, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16,  17, 18, 19, 20, 21, 22, 23, 24, a3",shrubs,acer - maples,"full sun, partial sun","spring (early,mid,late)","10'
– 12'
(3m
– 3.6m)","10'
– 12'
(3m
– 3.6m)",average,"chalk, clay, loam, sand",,moist but well-drained,"plant of merit, showy",rabbit,beds and borderspatio and containerssmall gardens,city and courtyardinformal and cottagejapanese gardentraditional garden,10,12,300,360,10,12,300,360,5,9
50,acer palmatum bloodgood japanese maple,"5
– 8","2, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, a3","shrubs, trees",acer - maples,"full sun, partial sun","spring (early,mid,late)","15'
– 20'
(4.5m
– 6m)","15'
– 20'
(4.5m
– 6m)",average,"chalk, clay, loam, sand",,moist but well-drained,"plant of merit, showy",rabbit,beds and borderspatio and containers,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,15,20,450,600,15,20,450,600,5,8
51,acer palmatum butterfly japanese maple,"5
– 8","2, 2b, 3, 3a, 3b, 4, 5, 6,  7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, a3","shrubs, trees",acer - maples,partial sun,"spring (early,mid,late)","7'
– 12'
(210cm
– 3.6m)","4'
– 8'
(120cm
– 240cm)",average,"clay, loam, sand",,moist but well-drained,showy,rabbit,beds and borderspatio and containerssmall gardens,city and courtyardinformal and cottagejapanese gardentraditional garden,7,12,210,360,4,8,120,240,5,8
52,acer palmatum chitoseyama japanese maple,"5
– 8","2, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, a3",shrubs,acer - maples,"full sun, partial sun","spring (early,mid,late)","8'
– 12'
(240cm
– 3.6m)","9'
– 10'
(270cm
– 3m)",average,"chalk, clay, loam, sand",,moist but well-drained,"plant of merit, showy",rabbit,beds and borderspatio and containerssmall gardens,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,8,12,240,360,9,10,270,300,5,8
53,acer palmatum crimson queen laceleaf japanese maple,"5
– 9","2, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, a3",shrubs,acer - maples,"full sun, partial sun","spring (early,mid,late)","8'
– 10'
(240cm
– 3m)","10'
– 12'
(3m
– 3.6m)",average,"chalk, clay, loam, sand",,moist but well-drained,"plant of merit, showy",rabbit,banks and slopesbeds and borderspatio and containers,city and courtyardinformal and cottagejapanese gardentraditional garden,8,10,240,300,10,12,300,360,5,9
54,acer palmatum crippsii japanese maple,"5
– 8","2, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, a3","shrubs, trees",acer - maples,"full sun, partial sun","spring (early,mid,late)","4'
– 5'
(120cm
– 150cm)","4'
– 5'
(120cm
– 150cm)",average,"chalk, clay, loam, sand",,moist but well-drained,showy,rabbit,beds and borderspatio and containerssmall gardens,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,4,5,120,150,4,5,120,150,5,8
55,acer palmatum deshojo japanese maple,"5
– 9","2, 2b, 3, 3a,  3b, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, a3","shrubs, trees",acer - maples,"full sun, partial sun","spring (early,mid,late)","8'
– 10'
(240cm
– 3m)","8'
– 10'
(240cm
– 3m)",average,"chalk, clay, loam, sand",,moist but well-drained,showy,rabbit,beds and borderspatio and containerssmall gardens,city and courtyardinformal and cottagejapanese gardentraditional garden,8,10,240,300,8,10,240,300,5,9
56,acer palmatum dissectum atropurpureum laceleaf japanese maple,"5
– 8","2, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, a3",shrubs,acer - maples,"full sun, partial sun","spring (early,mid,late)","6'
– 8'
(180cm
– 240cm)","6'
– 8'
(180cm
– 240cm)",average,"chalk, clay, loam, sand",,moist but well-drained,showy,rabbit,banks and slopesbeds and borders,city and courtyardinformal and cottagejapanese gardentraditional garden,6,8,180,240,6,8,180,240,5,8
57,acer palmatum eddisbury coral bark maple,"5
– 8","2, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, a3","shrubs, trees",acer - maples,"full sun, partial sun","spring (early,mid,late)","10'
– 15'
(3m
– 4.5m)","6'
– 10'
(180cm
– 3m)",average,"chalk, clay, loam, sand",,moist but well-drained,"plant of merit, showy",rabbit,beds and borders,city and courtyardinformal and cottagejapanese gardentraditional garden,10,15,300,450,6,10,180,300,5,8
58,acer palmatum emerald lace laceleaf japanese maple,"5
– 9","2, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, a3",shrubs,acer - maples,"full sun, partial sun","spring (early,mid,late)","10'
– 13'
(3m
– 3.9m)","10'
– 13'
(3m
– 3.9m)",average,"chalk, clay, loam, sand",,moist but well-drained,"plant of merit, showy",rabbit,beds and borderspatio and containers,city and courtyardinformal and cottagejapanese gardentraditional garden,10,13,300,390,10,13,300,390,5,9
59,acer palmatum fireglow japanese maple,"5
– 9","2, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, a3",shrubs,acer - maples,"full sun, partial sun","spring (early,mid,late)","12'
– 15'
(3.6m
– 4.5m)","12'
– 15'
(3.6m
– 4.5m)",average,"clay, loam, sand",,moist but well-drained,showy,rabbit,patio and containers,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,12,15,360,450,12,15,360,450,5,9
60,acer palmatum garnet laceleaf japanese maple,"5
– 9","2, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, a3",shrubs,acer - maples,"full sun, partial sun","spring (early,mid,late)","6'
– 8'
(180cm
– 240cm)","8'
– 12'
(240cm
– 3.6m)",average,"chalk, clay, loam, sand",,moist but well-drained,"plant of merit, showy",rabbit,beds and borderspatio and containers,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,6,8,180,240,8,12,240,360,5,9
61,acer palmatum katsura japanese maple,"5
– 9","2, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, a3",shrubs,acer - maples,"full sun, partial sun","spring (early,mid,late)","5'
– 9'
(150cm
– 270cm)","5'
– 9'
(150cm
– 270cm)",average,"chalk, clay, loam,  sand",,moist but well-drained,"plant of merit, showy",rabbit,beds and borderspatio and containerssmall gardens,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,5,9,150,270,5,9,150,270,5,9
62,acer palmatum kotonoito japanese maple,"5
– 9","2, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, a3","shrubs, trees",acer - maples,"full sun, partial sun","spring (early,mid,late)","6'
– 10'
(180cm
– 3m)","6'
– 10'
(180cm
– 3m)",average,"chalk, clay, loam, sand",,moist but well-drained,showy,rabbit,beds and borders,city and courtyardcoastal gardeninformal and cottagejapanese gardentraditional garden,6,10,180,300,6,10,180,300,5,9
63,acer palmatum orange dream japanese maple,"5
– 8","2, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, a3",shrubs,acer - maples,"full sun, partial sun","spring (early,mid,late)","8'
– 10'
(240cm
– 3m)","5'
– 6'
(150cm
– 180cm)",average,"chalk, clay, loam, sand",,moist but well-drained,"plant of merit, showy",rabbit,beds and borderspatio and containerssmall gardens,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,8,10,240,300,5,6,150,180,5,8
64,acer palmatum orangeola laceleaf japanese maple,"6
– 9","2, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, a3","shrubs, trees",acer - maples,"full sun, partial sun","spring (early,mid,late)","4'
– 8'
(120cm
– 240cm)","3'
– 7'
 (90cm
– 210cm)",average,"chalk, clay, loam, sand",,moist but well-drained,"plant of merit, showy",rabbit,beds and borderspatio and containerssmall gardens,city and courtyardinformal and cottagejapanese gardentraditional garden,4,8,120,240,3,7,90,210,6,9
65,acer palmatum ornatum laceleaf japanese maple,"6
– 9","2, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 12,  14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, a3",shrubs,acer - maples,"full sun, partial sun","spring (early,mid,late)","8'
– 15'
(240cm
– 4.5m)","8'
– 10'
(240cm
– 3m)",average,"chalk, clay, loam, sand",,moist but well-drained,"plant of merit, showy",rabbit,beds and borders,city and courtyardcoastal gardeninformal and cottagejapanese gardentraditional garden,8,15,240,450,8,10,240,300,6,9
66,acer palmatum osakazuki japanese maple,"5
 – 8","2, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, a3","shrubs, trees",acer - maples,"full sun, partial sun","spring (early,mid,late)","15'
– 25'
(4.5m
– 7.5m)","10'
– 15'
(3m
– 4.5m)",average,"chalk, clay, loam, sand",,moist but well-drained,"plant of merit, showy",rabbit,beds and borders,city and courtyardinformal and cottagejapanese gardentraditional garden,15,25,450,750,10,15,300,450,5,8
67,acer palmatum red dragon laceleaf japanese maple,"5
– 8","2, 2b, 3, 3a, 3b, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, a3",shrubs,acer - maples,"full sun, partial sun","spring (early,mid,late)","6'
– 8'
(180cm
– 240cm)","6'
– 8'
(180cm
– 240cm)",average,"chalk,  clay, loam, sand",,moist but well-drained,showy,rabbit,beds and borderspatio and containerssmall gardens,city and courtyardgravel and rock gardeninformal and cottagejapanese gardentraditional garden,6,8,180,240,6,8,180,240,5,8
